Date	Open	High	Low	Close	Volume
8-Apr-14	525.19	526.12	518.7	523.44	8710269
9-Apr-14	522.64	530.49	522.02	530.32	7363246
10-Apr-14	530.68	532.24	523.17	523.48	8558974
11-Apr-14	519	522.83	517.14	519.61	9710716
14-Apr-14	521.9	522.16	517.21	521.68	7349311
15-Apr-14	520.27	521.64	511.33	517.96	9517511
